"Section","Page or component","URL","Content type","Owner class","Proposed role","Assigned today","Same content also appears at","Note"
"Associated Organisations","NSFDC — National Scheduled Castes Finance and Development Corporation","/organisation/national-scheduled-castes-finance-and-development-corporation/","Organisation tree (14 pages)","Corporations","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/nsfdc-directory; holds a second copy of Success Stories"
"Associated Organisations","NSKFDC — National Safai Karamcharis Finance and Development Corporation","/organisation/national-safai-karamcharis-finance-development-corporation/","Organisation tree (17 pages)","Corporations","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/nskfdc-directory"
"Associated Organisations","NBCFDC — National Backward Classes Finance and Development Corporation","/organisation/national-backward-classes-financeand-development-corporationnbcfdc/","Organisation tree (3 pages)","Corporations","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/nbcfdc-directory; its About Us now redirects to DAIC's About Us"
"Associated Organisations","DAF — Dr. Ambedkar Foundation","/organisation/dr-ambedkar-foundation/","Organisation tree (8 pages)","Foundations / Autonomous Bodies","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/daf-directory; contact page is /contact, not /contact-us"
"Associated Organisations","DAIC — Dr Ambedkar International Centre","/organisation/dr-ambedkar-international-centre/","Organisation tree (9 pages)","Foundations / Autonomous Bodies","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/daic-directory"
"Associated Organisations","BJRNF — Babu Jagjivan Ram National Foundation","/organisation/babu-jagjivan-ram-national-foundation-bjrnf/","Organisation tree (10 pages)","Foundations / Autonomous Bodies","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/bjrnf-directory; whole tree renamed since 24 Aug, old landing URL now 404"
"Associated Organisations","DWBDNC — Development and Welfare Board for De-notified, Nomadic and Semi-Nomadic Communities","/organisation/development-and-welfare-board-for-de-notified-nomadic-and-semi-nomadic/","Organisation tree (5 pages)","Foundations / Autonomous Bodies","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/dwbdnc-directory; receives every stale /organisation/*/contact-us/ redirect"
"Associated Organisations","NISD — National Institute of Social Defence","/organisation/national-institute-of-social-defence/","Organisation tree (15 pages)","Foundations / Autonomous Bodies","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/nisd-directory; /dams/ removed since 24 Aug and now 404"
"Associated Organisations","SCW — Senior Citizens Welfare","/organisation/senior-citizens-welfarescw/","Organisation tree (10 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/scw-directory belongs to the Scheduled Caste Welfare DIVISION, not to this portal"
"Associated Organisations","PM-AJAY — Pradhan Mantri Anusuchit Jaati Abhyuday Yojna","/organisation/pradhan-mantri-anusuchit-jaati-abhyuday-yojnapm-ajay/","Organisation tree (22 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/pm-ajay-directory; grew from 7 to 22 pages since 24 Aug"
"Associated Organisations","SMILE - Transgender — National Portal for Transgender Persons","/organisation/national-portal-for-transgender-persons/","Organisation tree (14 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","—"
"Associated Organisations","SMILE Beggary — Support for Marginalized Individuals for Livelihood and Enterprise","/organisation/support-for-marginalized-individuals-for-livelihood-and-enterprise-smile/","Organisation tree (6 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","Menu link uses dosje.gov.in without www"
"Associated Organisations","NOS — National Overseas Scholarship","/organisation/national-overseas-scholarship/","Organisation tree (3 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","—"
"Associated Organisations","NMBA — Nasha Mukt Bharat Abhiyaan","/organisation/nasha-mukt-bharat-abhiyaan/","Organisation tree (8 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","—"
"Associated Organisations","NHAA — National Helpline Against Atrocities","/organisation/national-helpline-against-atrocities/","Organisation tree (9 pages)","Scheme-specific Thematic Portals","R6 Scheme portal editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/nhaa-directory added since 24 Aug; menu link omits www"
"Associated Organisations (unlisted)","e-Utthaan","/organisation/e-utthaan/","Organisation tree (12 pages)","Unassigned","R1 Super-administrator to reassign","No","—","Portal filed as an organisation; not in the Associated Organisations menu"
"Associated Organisations (unlisted)","e-Anudaan","/organisation/e-anudaan/","Organisation tree (4 pages)","Unassigned","R1 Super-administrator to reassign","No","—","Portal filed as an organisation; not in the menu; shown as plain text in the logo carousel"
"Associated Organisations (unlisted)","List of Channelizing Agencies","/organisation/list-of-channelizing-agencies/","Organisation tree (1 pages)","Unassigned","R1 Super-administrator to reassign","No","—","A listing filed as an organisation; not in the menu"
"Divisions (Important Links)","Scheduled Caste Welfare","/about-the-division/","Division link group","Division","R7 Division editor","No","Directory /scw-directory","3 published links"
"Divisions (Important Links)","Welfare Of The Other Backward Classes","/about-the-division-welfare-of-the-other-backward-classes/","Division link group","Division","R7 Division editor","No","—","3 published links"
"Divisions (Important Links)","Grants-In-Aid To NGOs","(no landing page)","Division link group","Division","R7 Division editor","No","—","11 published links; two of its live URLs are misspelt"
"Divisions (Important Links)","Budget And Account","(no landing page)","Division link group","Division","R7 Division editor","No","—","2 published links"
"Divisions (Important Links)","Social Defence","/about-the-division-social-defence/","Division link group","Division","R7 Division editor","No","—","6 published links"
"Divisions (Important Links)","Public Grievance","(no landing page)","Division link group","Division","R7 Division editor","No","—","1 published links"
"Divisions (Important Links)","Statistics Division","/about-the-division-statistics-division/","Division link group","Division","R7 Division editor","No","—","4 published links; four links all labelled SECC 2011"
"Divisions (Important Links)","Official Language","(no landing page)","Division link group","Division","R7 Division editor","No","—","3 published links"
"Divisions (Important Links)","Parliamentary Matters","(no landing page)","Division link group","Division","R7 Division editor","No","—","2 published links"
"Divisions (Important Links)","Plan Division","/about-the-division-2/","Division link group","Division","R7 Division editor","No","—","1 published links"
"Directories","Mosje Directory","/mosje-directory/","Query over the official records","Ministry","R4 Directory & officials custodian","No","Department > Directory AND Connect > Directory; /whos-who; footer 'Ministers & Officials'","Same URL appears twice in the primary navigation"
"Directories","Bjrnf Directory","/bjrnf-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Daf Directory","/daf-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Daic Directory","/daic-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Dwbdnc Directory","/dwbdnc-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Nbcfdc Directory","/nbcfdc-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Ncbc Directory","/ncbc-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Ncsk Directory","/ncsk-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Nhaa Directory","/nhaa-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Nisd Directory","/nisd-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Nsfdc Directory","/nsfdc-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Nskfdc Directory","/nskfdc-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Pm Ajay Directory","/pm-ajay-directory/","Query over the official records","Organisation","R5 Organisation editor","No","Organisation Contact page; /contact-us/",""
"Directories","Scw Directory","/scw-directory/","Query over the official records","Division","R7 Division editor","No","Organisation Contact page; /contact-us/",""
"Collections","Documents","/documents/","5,960 records in 10 categories","Ministry","R8 Documents librarian","No","Organisation pages, Recent Documents, footer Resources","No owner field on the record; category is a document type, not an owner"
"Collections","Scheme documents","/scheme-documents/","100 records","Ministry","R8 Documents librarian","No","Scheme pages","A second document type, separate from Documents"
"Collections","Schemes & Services","/schemes-services/","140 records","Ministry","R14 Schemes catalogue owner","No","Homepage Offerings tab, organisation Schemes pages","22 of 140 have effectively empty bodies"
"Collections","Tenders","/tenders/","312 records","Ministry","R10 Procurement publisher","No","Homepage Offerings tab, organisation Tenders pages","121 of 312 carry no category"
"Collections","Vacancies","/vacancies/","165 records","Ministry","R9 Recruitment publisher","No","Homepage Offerings tab","No owner field on the record"
"Collections","Officials","/official/","448 person records","Ministry","R4 Directory & officials custodian","No","14 directory pages, Who's Who, Contact Us","Organisation is filled on every record; contact fields are 30-75% empty"
"Collections","Events","/events/","615 records","Ministry","R11 Events & Gallery editor","No","Homepage, Events & Gallery menu","—"
"Collections","Gallery","/gallery/","589 records","Ministry","R11 Events & Gallery editor","No","Homepage, Events & Gallery menu","—"
"Collections","Updates","/updates/","9 records","Ministry","R2 Homepage editor","No","Latest Updates ticker","Sitemap unchanged since 7 July 2026"
"Collections","CPIO","/cpio/","14 records","Ministry","R12 RTI, CPIO & grievance officer","No","Connect menu, organisation RTI pages","—"
"Collections","Suo Moto Disclosure","/suo-moto-disclosure/","15 records","Ministry","R12 RTI, CPIO & grievance officer","No","RTI pages","Sitemap unchanged since 25 November 2025"
"Collections","Bookings","/booking/","12 records","Ministry","R5 Organisation editor","No","DAIC Bookings page","Appears to belong to DAIC alone"
"Ministry pages","about us","/about-us/","Page","Ministry","R2 Homepage editor","No","—","Footer 'About Ministry' AND 'Vision & Mission' both point here"
"Ministry pages","activities of the ministry official language","/activities-of-the-ministry-official-language/","Page","Division","R7 Division editor","No","—","Official Language"
"Ministry pages","acts rules","/acts-rules/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","advices","/advices/","Page","Ministry","R8 Documents librarian","No","—","981 of the 5,960 documents sit in this category"
"Ministry pages","annual reports","/annual-reports/","Page","Ministry","R8 Documents librarian","No","—","Organisations publish their own annual reports too"
"Ministry pages","assurances","/assurances/","Page","Division","R7 Division editor","No","—","Parliamentary Matters"
"Ministry pages","cessation of voluntary organisation activities","/cessation-of-voluntary-organisation-activities/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","chairpersons office","/chairpersons-office/","Page","Ministry","R4 Directory & officials custodian","No","—","—"
"Ministry pages","circulars notifications","/circulars-notifications/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","contact person","/contact-person/","Page","Division","R7 Division editor","No","—","Budget and Account division"
"Ministry pages","contact us","/contact-us/","Page","Ministry","R4 Directory & officials custodian","No","—","Restates each organisation's contact block"
"Ministry pages","cpio","/cpio/","Page","Ministry","R12 RTI, CPIO & grievance officer","No","—","—"
"Ministry pages","dashboard","/dashboard/","Page","Ministry","R2 Homepage editor","No","—","Footer calls this 'Statistics'"
"Ministry pages","detailed demand for grant","/detailed-demand-for-grant/","Page","Division","R7 Division editor","No","—","Budget and Account"
"Ministry pages","drug division","/drug-division/","Page","Division","R7 Division editor","No","—","Social Defence"
"Ministry pages","events","/events/","Page","Ministry","R11 Events & Gallery editor","No","—","—"
"Ministry pages","forms templates","/forms-templates/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","gallery","/gallery/","Page","Ministry","R11 Events & Gallery editor","No","—","—"
"Ministry pages","grants in aid to ngos faqs","/grants-in-aid-to-ngos-faqs/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","grants suspended list blacklisted ngos","/grants-suspended-list-blacklisted-ngos/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","guidelines for assisting ngos voluntary organisations","/guidelines-for-assisting-ngos-voluntary-organisations/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","handbook on social welfare statistics","/handbook-on-social-welfare-statistics/","Page","Division","R7 Division editor","No","—","Statistics Division; labelled SECC 2011 in the rail"
"Ministry pages","home page / copyright policy","/home-page/copyright-policy/","Page","Ministry","R13 Statutory & policy pages","No","—","Nested under a page called home-page"
"Ministry pages","home page / for beneficiary","/home-page/for-beneficiary/","Page","Ministry","R2 Homepage editor","No","—","Persona page"
"Ministry pages","home page / for government official","/home-page/for-government-official/","Page","Ministry","R2 Homepage editor","No","—","Persona page"
"Ministry pages","home page / for researchers","/home-page/for-researchers/","Page","Ministry","R2 Homepage editor","No","—","Persona page; our mirror uses for-researcher, singular"
"Ministry pages","home page / for student","/home-page/for-student/","Page","Ministry","R2 Homepage editor","No","—","Persona page"
"Ministry pages","home page / help","/home-page/help/","Page","Ministry","R13 Statutory & policy pages","No","—","Nested under a page called home-page"
"Ministry pages","home page / hyperlinking policy","/home-page/hyperlinking-policy/","Page","Ministry","R13 Statutory & policy pages","No","—","Nested under a page called home-page"
"Ministry pages","home page / privacy policy","/home-page/privacy-policy/","Page","Ministry","R13 Statutory & policy pages","No","—","Nested under a page called home-page"
"Ministry pages","home page / sitemap","/home-page/sitemap/","Page","Ministry","R3 Navigation & structure","No","—","A second sitemap; the menu links to /sitemap"
"Ministry pages","home page / terms conditions","/home-page/terms-conditions/","Page","Ministry","R13 Statutory & policy pages","No","—","Footer links to /terms-conditions, not to this page"
"Ministry pages","inspection and monitoring procedure","/inspection-and-monitoring-procedure/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","list of de blacklisted ngos","/list-of-de-blacklisted-ngos/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","list of research evaluation studies","/list-of-research-evaluation-studies/","Page","Division","R7 Division editor","No","—","Statistics Division; labelled SECC 2011 in the rail"
"Ministry pages","list of scheduled castes","/list-of-scheduled-castes/","Page","Division","R7 Division editor","No","—","Scheduled Caste Welfare"
"Ministry pages","lok sabha question answer","/lok-sabha-question-answer/","Page","Division","R7 Division editor","No","—","Parliamentary Matters"
"Ministry pages","minutes of screening committees","/minutes-of-screening-committees/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","minutes of screening committees 2","/minutes-of-screening-committees-2/","Page","Division","R7 Division editor","No","—","A duplicate-slug artefact of the page above"
"Ministry pages","miscellaneous","/miscellaneous/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","mosje contact","/mosje-contact/","Page","Ministry","R4 Directory & officials custodian","No","—","A second contact page alongside /contact-us/"
"Ministry pages","mou","/mou/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","newsletter","/newsletter/","Page","Ministry","R2 Homepage editor","No","—","Not reachable from the primary navigation"
"Ministry pages","notices","/notices/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","official language act","/official-language-act/","Page","Division","R7 Division editor","No","—","Official Language"
"Ministry pages","official language background","/official-language-background/","Page","Division","R7 Division editor","No","—","Official Language"
"Ministry pages","organisation under division social division","/organisation-under-division-social-division/","Page","Division","R7 Division editor","No","—","Social Defence"
"Ministry pages","penalties in case of misutilization of grands","/penalties-in-case-of-misutilization-of-grands/","Page","Division","R7 Division editor","No","—","Live URL misspells 'Misutilisation of Grants'"
"Ministry pages","policies","/policies/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","policies acts rules circular","/policies-acts-rules-circular/","Page","Division","R7 Division editor","No","—","Scheduled Caste Welfare"
"Ministry pages","policies acts rules codes circular","/policies-acts-rules-codes-circular/","Page","Division","R7 Division editor","No","—","OBC Welfare"
"Ministry pages","policies acts rules codes circular social defence","/policies-acts-rules-codes-circular-social-defence/","Page","Division","R7 Division editor","No","—","Social Defence"
"Ministry pages","prioritization guidelines for funding projects by vuluntary organisations","/prioritization-guidelines-for-funding-projects-by-vuluntary-organisations/","Page","Division","R7 Division editor","No","—","Live URL misspells 'voluntary'"
"Ministry pages","procedure for processing grant in aid cases in respect of voluntary organisations","/procedure-for-processing-grant-in-aid-cases-in-respect-of-voluntary-organisations/","Page","Division","R7 Division editor","No","—","Grants-in-Aid to NGOs"
"Ministry pages","publications","/publications/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","resources","/resources/","Page","Ministry","R8 Documents librarian","No","—","—"
"Ministry pages","rti","/rti/","Page","Ministry","R12 RTI, CPIO & grievance officer","No","—","Every organisation also has its own RTI page"
"Ministry pages","samavesh admin portals","/samavesh-admin-portals/","Page","Ministry","R1 Super-administrator","No","—","Admin Login destination"
"Ministry pages","samavesh citizen portals","/samavesh-citizen-portals/","Page","Ministry","R2 Homepage editor","No","—","—"
"Ministry pages","schemes services","/schemes-services/","Page","Ministry","R14 Schemes catalogue owner","No","—","—"
"Ministry pages","social defence faqs","/social-defence-faqs/","Page","Division","R7 Division editor","No","—","Social Defence"
"Ministry pages","special mention matters raised under 377","/special-mention-matters-raised-under-377/","Page","Division","R7 Division editor","No","—","Parliamentary Matters"
"Ministry pages","suo moto disclosure","/suo-moto-disclosure/","Page","Ministry","R12 RTI, CPIO & grievance officer","No","—","—"
"Ministry pages","supreme court judgement","/supreme-court-judgement/","Page","Division","R7 Division editor","No","—","Owning division not stated on the page"
"Ministry pages","tenders","/tenders/","Page","Ministry","R10 Procurement publisher","No","—","—"
"Ministry pages","updates","/updates/","Page","Ministry","R2 Homepage editor","No","—","—"
"Ministry pages","vacancies","/vacancies/","Page","Ministry","R9 Recruitment publisher","No","—","—"
"Ministry pages","visitor analytics","/visitor-analytics/","Page","Ministry","R13 Statutory & policy pages","No","—","—"
"Ministry pages","welfare of the other backward classes","/welfare-of-the-other-backward-classes/","Page","Division","R7 Division editor","No","—","OBC Welfare FAQs"
"Ministry pages","whos who","/whos-who/","Page","Ministry","R4 Directory & officials custodian","No","—","Footer calls this 'Organisational Chart'"
