Area,GIGW 3.0 clause,Annexure II S/N,WCAG 2.1,Checkpoint (GIGW 3.0 wording),Result,Where in the tracker,Tracker issues,Note,GIGW page
Accessibility,5.2.1,1,1.1.1,"All non-text content that is presented to the user has a text alternative that serves the equivalent purpose, except for the situations listed below: (a) Controls, Input: If non-text content is a control or accepts user input, then it has a name that describes its purpose (Refer to Success Criterion 4.1.2 for additional requirements for controls and content that accepts user input); (b) Time-Based Media: If non-text content is time-based media, then text alternatives at least provide descriptive identification of the non-text content (Refer to Guideline 1.2 for additional requirements for media); 47 5. Guidelines (d) Sensory: If non-text content is primarily intended to create a specific sensory experience, then text alternatives at least provide descriptive identification of the non-text content; (e) CAPTCHA: If the purpose of non-text content is to confirm that content is being accessed by a person rather than a computer, then text alternatives that identify and describe the purpose of the non-text content are provided and alternative forms of CAPTCHA using output modes for different types of sensory perception are provided to accommodate different disabilities; and (f) Decoration, Formatting, Invisible: If non-text content is pure decoration, is used only for visual formatting, or is not presented to users, then it is implemented in a way that it can be ignored by assistive technology.",Fails — tracked,Issues,"ACC-04, ACC-22, DOC-01, MAN-01, MAN-02 + 1 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=47
Accessibility,5.2.2,2,1.2.1,"For pre-recorded audio-only and pre-recorded video-only media, the following are true, except when the audio or video is a media alternative for text and is clearly labelled as such: (a) Pre-recorded Audio-only: An alternative for time-based media is provided that presents equivalent information for pre-recorded audio-only content; and (b) Pre-recorded Video-only: Either an alternative for time-based media or an audio track is provided that presents equivalent information for pre-recorded video-only content.",Not applicable,Resolved & Withdrawn,,"Not applicable: no audio-only, video-only or live media on the 16 pages sampled; the NISD videos have sound (see ACC-P043).",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=49
Accessibility,5.2.3,3,1.2.2,"Captions are provided for all pre-recorded audio content in synchronised media, except when the media is a media alternative for text and is clearly labelled as such",Fails — tracked,Issues,+ 1 page-level,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=50
Accessibility,5.2.4,4,1.2.3,"An alternative for time-based media or audio description of the pre-recorded video content is provided for synchronised media, except when the media is a media alternative for text and is clearly labelled as such.",Fails — tracked,Issues,+ 1 page-level,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=50
Accessibility,5.2.5,5,1.2.4,Captions are provided for all live audio content in synchronised media.,Not applicable,Resolved & Withdrawn,,"Not applicable: no audio-only, video-only or live media on the 16 pages sampled; the NISD videos have sound (see ACC-P043).",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=51
Accessibility,5.2.6,6,1.2.5,Audio description is provided for all pre-recorded video content in synchronised media.,Fails — tracked,Issues,+ 1 page-level,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=51
Accessibility,5.2.7,7,1.3.1,"Information, structure and relationships conveyed through presentation can be programmatically determined or are available in text.",Fails — tracked,Issues,"ACC-02, ACC-03, ACC-16, ACC-20, ACC-23, COD-01, TYP-08 + 471 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=51
Accessibility,5.2.8,8,1.3.2,"When the sequence in which content is presented affects its meaning, a correct reading sequence can be programmatically determined.",Fails — tracked,Issues,ACC-20,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=52
Accessibility,5.2.9,9,1.3.3,"Instructions provided for understanding and operating content do not rely solely on sensory characteristics of components such as shape, colour, size, visual location, orientation, or sound.",Passes,Resolved & Withdrawn,,"Passes: no instruction relies on shape, colour, size or position on the 16 pages sampled; in landscape on a phone (812×375) nothing is locked to one orientation.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=53
Accessibility,5.2.10,10,1.3.4,"Content does not restrict its view and operation to a single display orientation, such as portrait or landscape, unless a specific display orientation is essential.",Passes,Resolved & Withdrawn,,"Passes: no instruction relies on shape, colour, size or position on the 16 pages sampled; in landscape on a phone (812×375) nothing is locked to one orientation.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=53
Accessibility,5.2.11,11,1.3.5,The purpose of each input field collecting information about the user can be programmatically determined when: (a) The input field serves a purpose identified in the Input Purposes for User Interface Components section; and (b The content is implemented using technologies with support for identifying the expected meaning for form input data.,Not applicable,Resolved & Withdrawn,,"Not applicable: the only text inputs are search boxes, which collect nothing about the user.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=54
Accessibility,5.2.12,12,1.4.1,"Colour is not used as the only visual means of conveying information, indicating an action, prompting a response, or distinguishing a visual element.",Fails — tracked,Issues,ACC-18,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=55
Accessibility,5.2.13,13,1.4.2,"If any audio on a Web page plays automatically for more than 3 seconds, either a mechanism is available to pause or stop the audio, or a mechanism is available to control audio volume independently from the overall system volume level.",Passes,Resolved & Withdrawn,,Passes: nothing plays sound on load (the 28 NISD videos do not autoplay); no looping animation faster than 400 ms.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=56
Accessibility,5.2.14,14,1.4.3,"The visual presentation of text and images of text has a contrast ratio of at least 4.5:1, except for the following: (a) Large Text: (18 pt. or 14 pt. bold) Large-scale text and images of large-scale text have a contrast ratio of at least 3:1; (b) Incidental: Text or images of text that are part of an inactive user interface component, that are pure decoration, that are not visible to anyone, or that are part of a picture that contains significant other visual content, have no contrast requirement; and (c) Logotypes: Text that is part of a logo or brand name has no contrast requirement.",Fails — tracked,Issues,"ACC-06, ACC-07, BRD-03, DES-A-01, DES-A-02, DES-A-03, DES-A-04, DES-A-05, DES-A-06 + 14 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=56
Accessibility,5.2.15,15,1.4.4,"Except for captions and images of text, text can be resized without assistive technology up to 200 percent without loss of content or functionality.",Fails — tracked,Issues,"ACC-09, TYP-02",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=57
Accessibility,5.2.16,16,1.4.5,"If the technologies being used can achieve the visual presentation, text is used to convey information rather than images of text except for the following: (a) Customizable: The image of text can be visually customised to the user's requirements; (b) Essential: A particular presentation of text is essential to the information being conveyed; (c) Use of images for representing text should be limited.",Fails — tracked,Issues,ACC-22,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=57
Accessibility,5.2.17,17,1.4.10,Content can be presented without loss of information or functionality and without requiring scrolling in two dimensions for: (a) Vertical scrolling content at a width equivalent to 320 CSS pixels; (b) Horizontal scrolling content at a height equivalent to 256 CSS pixels; and (c) Except for parts of the content which require a two-dimensional layout for usage or meaning.,Fails — tracked,Issues,"ACC-09, MOB-02, MOB-03 + 66 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=58
Accessibility,5.2.18,18,1.4.11,"The visual presentation of the following has a contrast ratio of at least 3:1 against adjacent colour(s): (a) User Interface Components: Visual information required to identify user interface components and states, except for inactive components or where the appearance of the component is determined by the user agent and not modified by the author; (b) Graphical Objects: Parts of graphics required to understand the content, except when a particular presentation of graphics is essential to the information being conveyed.",Fails — tracked,Issues,"ACC-06, ACC-08, ACC-14, ACC-26",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=59
Accessibility,5.2.19,19,1.4.12,"In content implemented using markup languages that support the following text style properties, no loss of content or functionality occurs by setting all of the following and by changing no other style property: (a) Line height (line spacing) to at least 1.5 times the font size; (b) Spacing following paragraphs to at least 2 times the font size; (c) Letter spacing (tracking) to at least 0.12 times the font size; (d) Word spacing to at least 0.16 times the font size; and (e) Exception: Human languages and scripts that do not make use of one or more of these text style properties in written text can conform using only the properties that exist for that combination of language and script.",Fails — tracked,Issues,ACC-24,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=59
Accessibility,5.2.20,20,1.4.13,"Where receiving and then removing pointer hover or keyboard focus triggers additional content to become visible and then hidden, the following are true: (a) Dismissible: A mechanism is available to dismiss the additional content without moving pointer hover or keyboard focus unless the additional content communicates an input error or does not obscure or replace other content; (b) Hover-able: If pointer hover can trigger the additional content, then the pointer can be moved over the additional content without the additional content disappearing; and (c) Persistent: The additional content remains visible until the hover or focus trigger is removed, the user dismisses it, or its information is no longer valid.",Fails — tracked,Issues,ACC-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=60
Accessibility,5.2.21,21,2.1.1,"All functionality of the content is operable through a keyboard interface without requiring specific timings for individual keystrokes, except where the underlying function requires input that depends on the path of the user's movement and not just the endpoints.",Fails — tracked,Issues,"ACC-01, ACC-13, NAV-13",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=61
Accessibility,5.2.22,22,2.1.2,"If keyboard focus can be moved to a component of the page using a keyboard interface, then focus can be moved away from that component using only a keyboard interface and, if it requires more than unmodified arrow or tab keys or other standard exit methods, the user is advised of the method for moving focus away.",Fails — tracked,Issues,ACC-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=62
Accessibility,5.2.23,23,2.1.4,"If a keyboard shortcut is implemented in content using only letter (including upper- and lower-case letters), punctuation, number, or symbol characters, then at least one of the following is true: (a) Turn off: A mechanism is available to turn the shortcut off; (b) Remap: A mechanism is available to remap the shortcut to include one or more non-printable keyboard keys (e.g., Ctrl, Alt); and (c) Active only on focus: The keyboard shortcut for a user interface component is only active when that component has focus.",Passes,Resolved & Withdrawn,,Passes: 36 single keys pressed on the home page trigger nothing; the accessibility panel uses Ctrl+F2.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=62
Accessibility,5.2.24,24,2.2.1,"For each time limit that is set by the content, at least one of the following is true: (a) Turn off: The user is allowed to turn off the time limit before encountering it; or (b) Adjust: The user is allowed to adjust the time limit before encountering it over a wide range that is at least ten times the length of the default setting; or (c) Extend: The user is warned before time expires and given at least 20 seconds to extend the time limit with a simple action (for example, ""press the spacebar"") and the user is allowed to extend the time limit at least ten times; or (d) Real-time Exception: The time limit is a required part of a real-time event (for example, an auction) and no alternative to the time limit is possible; or (e) Essential Exception: The time limit is essential and extending it would invalidate the activity; or (f) 20 Hour Exception: The time limit is longer than 20 hours.",Not applicable,Resolved & Withdrawn,,"Not applicable: no time limits or sign-in session, no device-motion controls, and no legal, financial or test submission on the website.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=63
Accessibility,5.2.25,25,2.2.2,"For moving, blinking, scrolling, or auto-updating information, all of the following are true: (a) Moving, blinking, scrolling: For any moving, blinking or scrolling information that (1) starts automatically, (2) lasts more than five seconds and (3) is presented in parallel with other content, there is a mechanism for the user to pause, stop, or hide it unless the movement, blinking, or scrolling is part of an activity where it is essential; and (b) Auto-updating: For any auto-updating information that (1) starts automatically and (2) is presented in parallel with other content, there is a mechanism for the user to pause, stop, or hide it or to control the frequency of the update unless the auto-updating is part of an activity where it is essential.",Fails — tracked,Issues,ACC-11,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=64
Accessibility,5.2.26,26,2.3.1,"Web pages do not contain anything that flashes more than three times in any one second period, or the flash is below the general flash and red flash thresholds.",Passes,Resolved & Withdrawn,,Passes: nothing plays sound on load (the 28 NISD videos do not autoplay); no looping animation faster than 400 ms.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=65
Accessibility,5.2.27,27,2.4.1,A mechanism is available to bypass blocks of content that are repeated on multiple Web pages.,Fails — tracked,Issues,"ACC-02, ACC-19",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=65
Accessibility,5.2.28,28,2.4.2,Web pages/app screens have titles that describe topic or purpose.,Fails — tracked,Issues,"CON-02, CON-15, DUP-03, SEO-06 + 121 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=66
Accessibility,5.2.29,29,2.4.3,"If a Web page can be navigated sequentially and the navigation sequences affect meaning or operation, focusable components receive focus in an order that preserves meaning and operability.",Fails — tracked,Issues,"ACC-10, ACC-12, ACC-13",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=66
Accessibility,5.2.30,30,2.4.4,"The purpose of each link can be determined from the link text alone or from the link text together with its programmatically determined link context, except where the of the link would be ambiguous to users in general.",Fails — tracked,Issues,"ACC-05, ACC-27, LAY-07, LNK-01, NAV-02 + 26 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=67
Accessibility,5.2.31,31,2.4.5,"More than one way is available to locate a web page within a set of web pages except where the web page is the result of, or a step in, a process.",Passes,Resolved & Withdrawn,,Passes: a search box and a Sitemap link are on all 16 pages sampled. Pages missing from the sitemap are SEO-05.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=68
Accessibility,5.2.32,32,2.4.6,Headings and labels describe topic or purpose.,Fails — tracked,Issues,"ACC-03, CON-14 + 235 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=68
Accessibility,5.2.33,33,2.4.7,Any keyboard operable user interface has a mode of operation where the keyboard focus indicator is visible.,Fails — tracked,Issues,"ACC-08, ACC-12 + 1 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=69
Accessibility,5.2.34,34,2.5.1,"All functionality that uses multipoint or path-based gestures for operation can be operated with a single pointer without a path-based gesture, unless a multipoint or path-based gesture is essential.",Passes,Resolved & Withdrawn,,"Passes: every carousel checked (three on Home, one on Garima Greh) has previous/next buttons; pressing any of 30 controls on Home and sliding off before release triggers nothing.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=69
Accessibility,5.2.35,35,2.5.2,"For functionality that can be operated using a single pointer, at least one of the following is true: (a) No Down-Event: The down-event of the pointer is not used to execute any part of the function; (b) Abort or Undo: Completion of the function is on the up-event and a mechanism is available to abort the function before completion or to undo the function after completion; (c) Up Reversal: The up-event reverses any outcome of the preceding down-event; (d) Essential: Completing the function on the down-event is essential.",Passes,Resolved & Withdrawn,,"Passes: every carousel checked (three on Home, one on Garima Greh) has previous/next buttons; pressing any of 30 controls on Home and sliding off before release triggers nothing.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=70
Accessibility,5.2.36,36,2.5.3,"For user interface components with labels that include text or images of text, the name contains the text that is presented visually.",Fails — tracked,Issues,ACC-29,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=71
Accessibility,5.2.37,37,2.5.4,"Functionality that can be operated by device motion or user motion can also be operated by user interface components and responding to the motion can be disabled to prevent accidental actuation, except when: (a) Supported Interface: The motion is used to operate functionality through an accessibility supported interface; (b) Essential: The motion is essential for the function and doing so would invalidate the activity; (c) Functionality that can be operated by device motion or user motion must also be operable by user interface components and responding to the motion can be disabled to prevent accidental a ctuation, except when: (i) Supported Interface: The motion is used to operate functionality through an accessibility supported interface; (ii) Essential: The motion is essential for the function and doing so would invalidate the activity.",Not applicable,Resolved & Withdrawn,,"Not applicable: no time limits or sign-in session, no device-motion controls, and no legal, financial or test submission on the website.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=71
Accessibility,5.2.38,38,3.1.1,The default human language of each Web page can be programmatically determined.,Fails — tracked,Issues,LNG-03,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=72
Accessibility,5.2.39,39,3.1.2,"The human language of each passage or phrase in the content can be programmatically determined except for proper names, technical terms, words of indeterminate language and words or phrases that have become part of the vernacular of the immediately surrounding text.",Fails — tracked,Issues,LNG-03,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=73
Accessibility,5.2.40,40,3.2.1,"When any user interface component receives focus, it does not initiate a change of context.",Fails — tracked,Issues,ACC-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=73
Accessibility,5.2.41,41,3.2.2,Changing the setting of any user interface component does not automatically cause a change of context unless the user has been advised of the behaviour before using the component.,Fails — tracked,Issues,ACC-30,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=74
Accessibility,5.2.42,42,3.2.3,"Navigational mechanisms that are repeated on multiple Web pages within a set of Web pages occur in the same relative order each time they are repeated, unless a change is initiated by the user.",Fails — tracked,Issues,NAV-07,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=74
Accessibility,5.2.43,43,3.2.4,Components that have the same functionality within a set of Web pages are identified consistently.,Fails — tracked,Issues,"CON-21, NAV-07",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=75
Accessibility,5.2.44,44,3.3.1,"If an input error is automatically detected, the item that is in error is identified and the error is described to the user in text.",Passes,Resolved & Withdrawn,,"Passes: the site's own forms are search boxes with nothing to validate; the translation-feedback panel, submitted empty, shows “Please provide rating” in an announced live region.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=75
Accessibility,5.2.45,45,3.3.2,Labels or instructions are provided when content requires user input.,Fails — tracked,Issues,ACC-23,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=76
Accessibility,5.2.46,46,3.3.3,"If an input error is automatically detected and suggestions for correction are known, then the suggestions are provided to the user, unless it would jeopardise the security or purpose of the content.",Passes,Resolved & Withdrawn,,"Passes: the site's own forms are search boxes with nothing to validate; the translation-feedback panel, submitted empty, shows “Please provide rating” in an announced live region.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=76
