"#","Title as listed on the site","URL","Is it a scheme of this Department?","What it actually is","Administered by","Where it should go","Comment","Source of validation"
"11","Awareness Program and Grant","https://www.dosje.gov.in/schemes-and-services/awareness-program-and-grant/","To confirm","Status unconfirmed","Not stated on the page","Hold until the owner is confirmed","Two lines of text; ""NGOs working for DNTs"". No owner named — DWBDNC or a State.","Two lines of text naming only ""NGOs working for DNTs"". No administering body stated anywhere in the record."
"12","Babu Jagjivan Ram All India Essay Competition Scheme","https://www.dosje.gov.in/schemes-and-services/babu-jagjivan-ram-all-india-essay-competition-scheme/","Yes","A scheme of this Department","Babu Jagjivan Ram National Foundation","Organisation → BJRNF → Schemes; write the content","Babu Jagjivan Ram National Foundation scheme — genuine, but the page is empty.","Babu Jagjivan Ram National Foundation is an autonomous body of the Department (its organisation pages are published on this site). The scheme is not separately cited in Annual Report 2025-26, ch.3; the page is empty."
"13","Babu Jagjivan Ram Chair Scheme","https://www.dosje.gov.in/schemes-and-services/babu-jagjivan-ram-chair-scheme/","Yes","A scheme of this Department","Babu Jagjivan Ram National Foundation","Organisation → BJRNF → Schemes; write the content","BJRNF scheme; page is empty.","BJRNF scheme, as above. Not separately cited in Annual Report 2025-26, ch.3; the page is empty."
"14","Babu Jagjivan Ram Scheme for Celebration of Birth-Death Anniversary of Great Saints","https://www.dosje.gov.in/schemes-and-services/babu-jagjivan-ram-scheme-for-celebration-of-birth-death-anniversary-of-great-saints/","Yes","A scheme of this Department","Babu Jagjivan Ram National Foundation","Organisation → BJRNF → Schemes; write the content","BJRNF scheme; page is empty.","BJRNF scheme, as above. Not separately cited in Annual Report 2025-26, ch.3; the page is empty."
"15","Basti Development Scheme","https://www.dosje.gov.in/schemes-and-services/basti-development-scheme/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State DNT basti-development programme. Carries the SHRESHTA standfirst by mistake.","Record's own text: a State DNT basti-development programme, sector given as ""Social Remedies"". Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"16","Central Sector Scheme of National Overseas Scholarship","https://www.dosje.gov.in/schemes-and-services/central-sector-scheme-of-national-overseas-scholarship/","Yes — but already listed under another name","A duplicate listing","Department of Social Justice & Empowerment","Merge into the NOS record; 301","Same scheme as National Overseas Scholarship (NOS) for SC etc. Candidates, listed twice under two names.","Annual Report 2025-26, ch.3 §3.4; Notes on Demands for Grants 2026-27, Demand No.93 8.04; PIB Year-End Review 2025. Same scheme as record 77."
"17","Central Sector Scholarship of Top Class Education for SC Students","https://www.dosje.gov.in/schemes-and-services/central-sector-scholarship-of-top-class-education-for-sc-students/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Central Sector, SHREYAS for SCs.","Annual Report 2025-26, ch.3 §3.5; Notes on Demands for Grants 2026-27, Demand No.93 8.03; PIB Year-End Review 2025."
"18","Centrally Sponsored Scheme for implementation of the Protection of Civil Rights Act, 1955 and the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act, 1989","https://www.dosje.gov.in/schemes-and-services/centrally-sponsored-scheme-for-implementation-of-the-protection-of-civil-rights-act-1955-and-the-scheduled-castes-and-the-scheduled-tribes-prevention-of-atrocities-act-1989/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Centrally Sponsored, Umbrella Scheme for Development of SCs.","Annual Report 2025-26, ch.3 §3.9; Notes on Demands for Grants 2026-27, Demand No.93 29; PIB Year-End Review 2025."
"19","Changes in the centrally sponsored scheme of Pre-Matric Scholarship to children of those engaged in ‘unclean’ occupations","https://www.dosje.gov.in/schemes-and-services/changes-in-the-centrally-sponsored-scheme-of-pre-matric-scholarship-to-children-of-those-engaged-in-unclean-occupations/","No","A document","Not stated on the page","Documents → Circulars & Notifications","Empty page. An amendment to a scheme, i.e. a circular.","The title is an amendment to a scheme, i.e. a circular; the body is empty."
"20","Civil Service Incentive Scheme","https://www.dosje.gov.in/schemes-and-services/civil-service-incentive-scheme/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh — the page names MP State Civil Service.","Record's own text: the record names MP State Civil Service. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"21","CM Housing Rent Scheme","https://www.dosje.gov.in/schemes-and-services/cm-housing-rent-scheme/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State Chief Minister's housing-rent scheme for DNT college students. Also filed under ""Education"" while it is housing.","Record's own text: a Chief Minister's housing-rent scheme for DNT college students. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"22","Commencement & Managment of Ashram Schools","https://www.dosje.gov.in/schemes-and-services/commencement-managment-of-ashram-schools/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","Ashram schools, Classes 1–5 — a State programme.","Record's own text: Ashram schools, Classes 1-5, a State programme. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"23","Construction of Hostels for OBC Boys and Girls","https://www.dosje.gov.in/schemes-and-services/construction-of-hostels-for-obc-boys-and-girls/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Nest under PM-YASASVI","Genuine, but it is the hostel component of PM-YASASVI, listed as a sibling of its own parent.","Annual Report 2025-26, ch.3 §3.22; Notes on Demands for Grants 2026-27, Demand No.93 30.03 — the hostel component of PM-YASASVI, not a scheme of its own."
"24","Credit Enhancement Guarantee Scheme for the Scheduled Castes (SCs)","https://www.dosje.gov.in/schemes-and-services/credit-enhancement-guarantee-scheme-for-the-scheduled-castes-scs/","To confirm","Status unconfirmed","Not stated on the page","Confirm with the Department; archive if closed","A Union scheme on the legacy site, but no line in the Demand for Grants 2026-27 and no section in the Annual Report 2025-26.","Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93. Present on the legacy socialjustice.gov.in site only."
"25","Data of Central Assistance released to States/UTs for last 5 years i.e 2020-21 to 2024-25 along with no. of atrocity victims and no. of couples provided incentives","https://www.dosje.gov.in/schemes-and-services/data-of-central-assistance-released-to-states-uts-for-last-5-years-i-e-2020-21-to-2024-25-along-with-no-of-atrocity-victims-and-no-of-couples-provided-incentives/","No","A status or achievement table","Not stated on the page","Dashboard / Statistics, or RTI suo-moto disclosure","Empty page. A five-year release-and-beneficiary table.","The record's own title is a status/achievement table and the body is empty."
"26","District Level Prizes for Public Examination: 10th and 12th","https://www.dosje.gov.in/schemes-and-services/district-level-prizes-for-public-examination-10th-and-12th/","No","A State Government scheme","Government of Tamil Nadu (inferred)","DWBDNC → State schemes directory (Tamil Nadu)","Tamil Nadu — BC/MBC categories and Tamil as first language.","Record's own text: BC/MBC categories and ""Tamil as first language"" — Tamil Nadu. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"27","DNT Employment Scheme","https://www.dosje.gov.in/schemes-and-services/dnt-employment-scheme/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State BPL employment scheme for DNTs.","Record's own text: a State BPL employment scheme for DNTs. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"28","Dr. Ambedkar Centre of Excellence – Free Coaching Scheme","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-centre-of-excellence-free-coaching-scheme-2/","Yes — but already listed under another name","A duplicate listing","Department of Social Justice & Empowerment","Merge with Free Coaching for SCs, OBCs and PM CARES Children","The same Free Coaching scheme as the record below it, under the DACE name.","Annual Report 2025-26, ch.3 §3.6; Notes on Demands for Grants 2026-27, Demand No.93 8.02. Same scheme as record 45, under the DACE name."
"29","Dr. Ambedkar Chairs (Revised in 2022)","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-chairs-revised-in-2022-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation scheme.","Dr. Ambedkar Foundation is a body of the Department (Annual Report 2025-26, ch.3 §3.31). This scheme is not separately cited in ch.3; the record itself is a DAF scheme page."
"30","Dr. Ambedkar Foundation National Essay Competition Scheme","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-foundation-national-essay-competition-scheme-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation scheme.","DAF scheme, as above; not separately cited in Annual Report 2025-26, ch.3 ch.3."
"31","Dr Ambedkar International Centre","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-international-centre-2/","No","An organisation or institution","Dr. Ambedkar International Centre","Delete; 301 to the DAIC organisation page","A building and an institution, not a scheme — and it already has its own organisation pages on this site.","An institution, not a programme. The site already publishes DAIC organisation pages (organisation.json, slug dr-ambedkar-international-centre)."
"32","Dr. Ambedkar Medical Aid Scheme (Revised in 2026)","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-medical-aid-scheme/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation scheme.","Annual Report 2025-26, ch.3 §3.31; PIB Year-End Review 2025."
"33","Dr. Ambedkar National Memorial","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-national-memorial-2/","No","An organisation or institution","Dr. Ambedkar Foundation / DAIC","Organisation → DAIC → Panchteerth, or About → Memorials","A memorial with visiting hours. Not a scheme.","A memorial with visiting hours. Not a programme; no budget line."
"34","Dr. Ambedkar National Merit Award for meritorious students of Secondary Examination belonging to Scheduled Castes and Scheduled Tribes","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-national-merit-award-for-meritorious-students-of-secondary-examination-belonging-to-scheduled-castes-and-scheduled-tribes-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation award scheme.","Annual Report 2025-26, ch.3 §3.31 (Dr. Ambedkar National Merit Awards); PIB Year-End Review 2025."
"35","Dr. Ambedkar National Merit Award Scheme for meritorious students of Senior Secondary School Examination belonging to Scheduled Caste","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-national-merit-award-scheme-for-meritorious-students-of-senior-secondary-school-examination-belonging-to-scheduled-caste-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation award scheme.","Annual Report 2025-26, ch.3 §3.31 (Dr. Ambedkar National Merit Awards); PIB Year-End Review 2025."
"36","Dr. Ambedkar Scheme for Celebration of Birth /Death Anniversary of Great Saints (Revised in 2022)","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-scheme-for-celebration-of-birth-death-anniversary-of-great-saints-revised-in-2022-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation grant scheme.","DAF scheme; not separately cited in Annual Report 2025-26, ch.3 ch.3."
"37","Dr. Ambedkar Scheme for Social Integration through Inter-Caste Marriages & Dr. Ambedkar National relief to the scheduled castes/scheduled tribes victims of Atrocities","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-scheme-for-social-integration-through-inter-caste-marriages-dr-ambedkar-national-relief-to-the-scheduled-castes-scheduled-tribes-victims-of-atrocities-2/","Yes","A scheme of this Department","Dr. Ambedkar Foundation","Organisation → Dr. Ambedkar Foundation → Schemes","Dr. Ambedkar Foundation scheme. Overlaps the inter-caste-marriage incentive inside the PCR/PoA scheme — say which is which.","DAF scheme; not separately cited in Annual Report 2025-26, ch.3 ch.3. Overlaps the inter-caste-marriage incentive inside Annual Report 2025-26, ch.3 §3.9."
"38","Dr. Ambedkar Scheme of Interest Subsidy on Educational Loan for Overseas Studies for OBCs & EBCs","https://www.dosje.gov.in/schemes-and-services/dr-ambedkar-scheme-of-interest-subsidy-on-educational-loan-for-overseas-studies-for-obcs-ebcs/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; write the description","Central Sector interest subsidy for OBCs and EBCs. Page carries only a documents table, no description.","Annual Report 2025-26, ch.3 §3.24; Notes on Demands for Grants 2026-27, Demand No.93 13.02."
"39","Education Loan (EL)","https://www.dosje.gov.in/schemes-and-services/education-loan-el/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC education loan product.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"40","EDUCATIONAL LOAN SCHEME(ELS)","https://www.dosje.gov.in/schemes-and-services/educational-loan-schemeels/","No","A corporation s loan product or activity","NBCFDC","Organisation → NBCFDC → Loan schemes","NBCFDC education loan product; the page is a rate table.","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"41","Elderline","https://www.dosje.gov.in/schemes-and-services/elderline/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays","National helpline for senior citizens, 14567, under AVYAY.","Annual Report 2025-26, ch.3 §3.14 D; PIB Year-End Review 2025."
"42","Excellent Award Scheme for Social Workers","https://www.dosje.gov.in/schemes-and-services/excellent-award-scheme-for-social-workers/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh — the page says MP residents.","Record's own text: the record names MP residents. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"43","Financial Assistance to the Students who Studied 10th Standard in Government Schools and Pursuing HSC in the Best Private Schools","https://www.dosje.gov.in/schemes-and-services/financial-assistance-to-the-students-who-studied-10th-standard-in-government-schools-and-pursuing-hsc-in-the-best-private-schools/","No","A State Government scheme","Government of Tamil Nadu (inferred)","DWBDNC → State schemes directory (Tamil Nadu)","Tamil Nadu — the page names private schools in Tamil Nadu.","Record's own text: the record names private schools in Tamil Nadu. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"44","Financial & Physical Achievements of last five years upto 31.03.2018 under loan schemes of NSKFDC","https://www.dosje.gov.in/schemes-and-services/financial-physical-achievements-of-last-five-years-upto-31-03-2018-under-loan-schemes-of-nskfdc/","No","A status or achievement table","NSKFDC","Dashboard / Statistics","Empty page. A five-year achievement table ending 31.03.2018 — eight years stale.","The record's own title is a status/achievement table and the body is empty. Its own period ends 31.03.2018."
"45","Free Coaching for SCs, OBCs and beneficiaries of PM CARES Children Scheme","https://www.dosje.gov.in/schemes-and-services/free-coaching-for-scs-obcs-and-beneficiaries-of-pm-cares-children-scheme/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays; absorb the DACE duplicate","Central Sector, SHREYAS for SCs.","Annual Report 2025-26, ch.3 §3.6; Notes on Demands for Grants 2026-27, Demand No.93 8.02; PIB Year-End Review 2025."
"46","Free Education for 3 year polytechnic courses","https://www.dosje.gov.in/schemes-and-services/free-education-for-3-year-polytechnic-courses/","No","A State Government scheme","Government of Tamil Nadu (inferred)","DWBDNC → State schemes directory (Tamil Nadu)","Tamil Nadu polytechnic fee waiver (BC/MBC).","Record's own text: BC/MBC polytechnic fee waiver — Tamil Nadu. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"47","Free education in Professional Courses","https://www.dosje.gov.in/schemes-and-services/free-education-in-professional-courses/","No","A State Government scheme","Government of Tamil Nadu (inferred)","DWBDNC → State schemes directory (Tamil Nadu)","Tamil Nadu — OBC/MBC/DNT, first-generation graduates.","Record's own text: OBC/MBC/DNT, first-generation graduates — MBC is a Tamil Nadu category. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"48","Free Education in Undergraduate Colleges","https://www.dosje.gov.in/schemes-and-services/free-education-in-undergraduate-colleges/","No","A State Government scheme","Government of Tamil Nadu (inferred)","DWBDNC → State schemes directory (Tamil Nadu)","Tamil Nadu — OBC/MBC/DNT undergraduates in government colleges.","Record's own text: OBC/MBC/DNT undergraduates in government colleges — Tamil Nadu. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"49","Gadia Lohar Scheme","https://www.dosje.gov.in/schemes-and-services/gadia-lohar-scheme/","No","A State Government scheme","Government of Rajasthan (inferred)","DWBDNC → State schemes directory (Rajasthan)","Rajasthan — Gadia Lohar is a Rajasthan DNT community. The page is one line and a ""Click Here"".","Record's own text: Gadia Lohar is a Rajasthan De-notified community. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"50","General Term Loan (GTL)","https://www.dosje.gov.in/schemes-and-services/general-term-loan-tl/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC term-loan product.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"51","Geriatric Caregivers Training","https://www.dosje.gov.in/schemes-and-services/geriatric-caregivers-training/","Yes — but already listed under another name","A duplicate listing","Department of Social Justice & Empowerment","Merge into one record","The same AVYAY caregiver training as the PM Special record.","Annual Report 2025-26, ch.3 §3.14 F. Same scheme as record 86."
"52","Girls Literacy Promotion Scheme Class 11th","https://www.dosje.gov.in/schemes-and-services/girls-literacy-promotion-scheme-class-11th/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh DNT girls' scholarship.","Record's own text: Madhya Pradesh DNT girls' scholarship. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"53","Green Business Scheme","https://www.dosje.gov.in/schemes-and-services/green-business-scheme/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Loan schemes","NSKFDC lending product for green enterprises.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"54","Group Loan Scheme","https://www.dosje.gov.in/schemes-and-services/group-loan-scheme/","No","A corporation s loan product or activity","NBCFDC","Organisation → NBCFDC → Loan schemes","NBCFDC self-help-group loan product.","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"55","Guidelines of National Action for Mechanized Sanitation Ecosystem (NAMASTE) Scheme","https://www.dosje.gov.in/schemes-and-services/guidelines-of-national-action-for-mechanized-sanitation-ecosystem-namaste-scheme-2/","No","A document","Not stated on the page","Documents → Acts, Rules & Guidelines; link from the NAMASTE record","Empty page. The guideline document of the NAMASTE scheme, listed as if it were a scheme.","The record has a document title and an empty body — it is the document, not the programme."
"56","Housing Plan","https://www.dosje.gov.in/schemes-and-services/housing-plan/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State DNT housing plan; two lines of text.","Record's own text: a State DNT housing plan. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"57","Housing Scheme for Scheduled Castes and DNTs","https://www.dosje.gov.in/schemes-and-services/housing-scheme-for-scheduled-castes-and-dnts/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State housing scheme for SCs and DNTs.","Record's own text: a State housing scheme for SCs and DNTs. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"58","Individual Loan Scheme","https://www.dosje.gov.in/schemes-and-services/individual-loan-scheme/","No","A corporation s loan product or activity","NBCFDC","Organisation → NBCFDC → Loan schemes","NBCFDC individual loan product.","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"59","Infrastructure for Nomadic/Semi Nomadic Tribes- Concrete Roads and Drainage","https://www.dosje.gov.in/schemes-and-services/infrastructure-for-nomadic-semi-nomadic-tribes-concrete-roads-and-drainage/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","State infrastructure works — roads and drainage in DNT settlements.","Record's own text: State roads and drainage works in DNT settlements. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"60","Integrated Programme for Senior Citizens (IPSrC)","https://www.dosje.gov.in/schemes-and-services/integrated-programme-for-senior-citizens-ipsrc/","Yes — a component of another scheme","A scheme of this Department","Department of Social Justice & Empowerment","Stays; cut to a page and link the PDF","AVYAY sub-scheme. The page is 157 KB of pasted guideline text — the whole PDF inside a web page.","Annual Report 2025-26, ch.3 §3.14 A; Notes on Demands for Grants 2026-27, Demand No.93 31; PIB Year-End Review 2025."
"61","ITIs Improvement of Education, Arts","https://www.dosje.gov.in/schemes-and-services/itis-improvement-of-education-arts/","No","A State Government scheme","Government of Madhya Pradesh (stated on the page)","DWBDNC → State schemes directory (Madhya Pradesh)","Madhya Pradesh — the page names natives of MP.","Record's own text: the record names natives of MP. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"62","Legal Aid to the Scheduled Castes and Vimukta Jatis","https://www.dosje.gov.in/schemes-and-services/legal-aid-to-the-scheduled-castes-and-vimukta-jatis/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State legal-aid scheme for SCs and Vimukta Jatis.","Record's own text: a State legal-aid scheme for SCs and Vimukta Jatis. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"63","List of 46 offences under the SC and ST PoA Act, 1989","https://www.dosje.gov.in/schemes-and-services/list-of-46-offences-under-the-sc-and-st-poa-act-1989/","No","A reference list","Not stated on the page","Acts & Rules, as an annexe to the PoA Act 1989","Empty page. A list of offences under an Act — reference material, not a scheme.","A list of offences under an Act. Reference material; the body is empty."
"64","Loan Schemes Flyer","https://www.dosje.gov.in/schemes-and-services/loan-schemes-flyer/","No","A document","NBCFDC","Documents → Publications; or NBCFDC → Downloads","A publicity flyer for NBCFDC's loan schemes.","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93. The record is a publicity flyer."
